loser_id,loser_name,nemesis_id,nemesis_name,n_match_lost
8299,Yui Kondo,2732,Funa Kozaki,1
8300,Minori Natsuka,7535,Nana Kawagishi,1
8300,Minori Natsuka,2727,Mana Kawamura,1
8301,Mai Kandori,1739,Ying Zhang,2
8302,Suzura Takaoka,2717,Kanako Morisaki,1
8303,Haruna Takada,961,Miharu Imanishi,1
8304,Nao Shimoji,1306,Akiko Omae,1
8305,Satsuki Ito,2723,Naomi Cheong,1
8306,Mami Mabuchi,2734,Minami Shuto,1
8307,Mai Fujimoto,7534,Honoka Kobayashi,1
8308,Zhanel Rustemova,1497,Tamara Curovic,2
8309,Diyora Alzhanova,4025,Gulsina Khalimullina,2
8310,Stefanya Shalakhova,2773,Milana Maslenkova,1
8310,Stefanya Shalakhova,7188,Ekaterina Reyngold,1
8310,Stefanya Shalakhova,819,Anastasia Zakharova,1
8310,Stefanya Shalakhova,7233,Kamilia Shailina,1
8310,Stefanya Shalakhova,2586,Yuval Keren,1
8310,Stefanya Shalakhova,6447,Katarina Kuzmova,1
8311,Jasmina Stoppel,7049,Alba Rey Garcia,1
8311,Jasmina Stoppel,3228,Semra Aksu,1
8311,Jasmina Stoppel,3024,Tamara Malesevic,1
8312,Ekaterina Maklakova,476,Sabina Sharipova,1
8312,Ekaterina Maklakova,2311,Polina Bakhmutkina,1
8312,Ekaterina Maklakova,815,Kamilla Rakhimova,1
8312,Ekaterina Maklakova,2753,Yekaterina Dmitrichenko,1
8312,Ekaterina Maklakova,1544,Daria Kruzhkova,1
8312,Ekaterina Maklakova,2296,Daria Mironova,1
8312,Ekaterina Maklakova,3304,Ashley Lahey,1
8312,Ekaterina Maklakova,2787,Sohyun Park,1
8313,Karina Rizvanova,9559,Aruzhan Sagandikova,1
8313,Karina Rizvanova,2998,Evgeniya Levashova,1
8313,Karina Rizvanova,7230,Iuliia Nikitina,1
8313,Karina Rizvanova,2974,Vitalia Stamat,1
8313,Karina Rizvanova,9258,Mariya Dolzhenko,1
8313,Karina Rizvanova,2312,Elena Malygina,1
8314,Sofiya Chursina,8805,Anastasiya Konstantinovna Soboleva,1
8314,Sofiya Chursina,1497,Tamara Curovic,1
8314,Sofiya Chursina,9120,Anastasiya Kuparev,1
8314,Sofiya Chursina,2765,Anastasia Veselova,1
8314,Sofiya Chursina,7873,Larisa Bekmetova,1
8314,Sofiya Chursina,2359,Alina Silich,1
8314,Sofiya Chursina,2029,Gozal Ainitdinova,1
8314,Sofiya Chursina,1950,Jasmin Jebawy,1
